q1      q2      q3      q4      q5
0.0000   0.0000   1.5500   0.0330   0.0000    ;
 0.400   0.500   1.500   0.134   0.000    ;
0.800   1.000   1.449   0.236   0.000    ;
1.200   1.500   1.399   0.337   0.000    ;
1.600   2.000   1.349   0.439   0.000    ;
2.000   2.500   1.299   0.540   0.000    ;
2.400   3.000   1.248   0.642   0.000    ;
2.800   3.500   1.198   0.743   0.000    ;
3.200   4.000   1.148   0.844   0.000    ;
3.600   4.500   1.097   0.946   0.000    ;
4.000   5.000   1.047   1.047   0.000    ;
4.000   5.000   1.047   1.047   0.000    ;
4.000   5.000   1.047   1.047   0.000    ;
4.000   5.000   1.047   1.047   0.000    ;
4.000   5.000   1.047   1.047   0.000    ;
4.000   5.000   1.047   1.047   0.000    ;
4.000   5.000   1.047   1.047   0.000    ;
4.000   5.000   1.047   1.047   0.000    ;
4.000   5.000   1.047   1.047   0.000    ;
4.000   5.000   1.047   1.047   0.000    ;
4.000   5.000   1.047   1.047   0.000    ;
4.600   5.500   1.001   1.139   0.000    ;
5.200   6.000   0.955   1.232   0.000    ;
5.800   6.500   0.909   1.324   0.000    ;
6.400   7.000   0.863   1.416   0.000    ;
7.000   7.500   0.816   1.509   0.000    ;
7.600   8.000   0.770   1.601   0.000    ;
8.200   8.500   0.724   1.693   0.000    ;
8.800   9.000   0.678   1.786   0.000    ;
9.400   9.500   0.632   1.878   0.000    ;
10.000   10.000   0.586   1.970   0.000    ;
10.000   10.000   0.568   2.005   0.000    ;
10.000   10.000   0.551   2.040   0.000    ;
10.000   10.000   0.533   2.075   0.000    ;
10.000   10.000   0.516   2.110   0.000    ;
10.000   10.000   0.498   2.145   0.000    ;
10.000   10.000   0.481   2.180   0.000    ;
10.000   10.000   0.464   2.215   0.000    ;
10.000   10.000   0.446   2.249   0.000    ;
10.000   10.000   0.429   2.284   0.000    ;
10.000   10.000   0.411   2.319   0.000    ;
10.000   10.000   0.411   2.319   0.000    ;
10.000   10.000   0.411   2.319   0.000    ;
10.000   10.000   0.411   2.319   0.000    ;
10.000   10.000   0.411   2.319   0.000    ;
10.000   10.000   0.411   2.319   0.000    ;
10.000   10.000   0.411   2.319   0.000    ;
10.000   10.000   0.411   2.319   0.000    ;
10.000   10.000   0.411   2.319   0.000    ;
10.000   10.000   0.411   2.319   0.000    ;
10.000   10.000   0.411   2.319   0.000    ;
9.800   9.900   0.510   2.117   0.000    ;
9.600   9.800   0.609   1.915   0.000    ;
9.400   9.700   0.708   1.714   0.000    ;
9.200   9.600   0.807   1.512   0.000    ;
9.000   9.500   0.906   1.310   0.000    ;
8.800   9.400   1.004   1.108   0.000    ;
8.600   9.300   1.103   0.906   0.000    ;
8.400   9.200   1.202   0.704   0.000    ;
8.200   9.100   1.301   0.502   0.000    ;
8.000   9.000   1.400   0.300   0.000    ;
8.000   9.000   1.400   0.300   0.000    ;
8.000   9.000   1.400   0.300   0.000    ;
8.000   9.000   1.400   0.300   0.000    ;
8.000   9.000   1.400   0.300   0.000    ;
8.000   9.000   1.400   0.300   0.000    ;
8.000   9.000   1.400   0.300   0.000    ;
8.000   9.000   1.400   0.300   0.000    ;
8.000   9.000   1.400   0.300   0.000    ;
8.000   9.000   1.400   0.300   0.000    ;
8.000   9.000   1.400   0.300   0.000    ;
7.600   8.550   1.408   0.287   0.000    ;
7.200   8.100   1.415   0.273   0.000    ;
6.800   7.650   1.422   0.260   0.000    ;
6.400   7.200   1.430   0.247   0.000    ;
6.000   6.750   1.438   0.233   0.000    ;
5.600   6.300   1.445   0.220   0.000    ;
5.200   5.850   1.452   0.207   0.000    ;
4.800   5.400   1.460   0.193   0.000    ;
4.400   4.950   1.468   0.180   0.000    ;
4.000   4.500   1.475   0.166   0.000    ;
3.600   4.050   1.482   0.153   0.000    ;
3.200   3.600   1.490   0.140   0.000    ;
2.800   3.150   1.498   0.126   0.000    ;
2.400   2.700   1.505   0.113   0.000    ;
2.000   2.250   1.513   0.100   0.000    ;
1.600   1.800   1.520   0.086   0.000    ;
1.200   1.350   1.528   0.073   0.000    ;
0.800   0.900   1.535   0.060   0.000    ;
0.400   0.450   1.543   0.046   0.000    ;
0.000   0.000   1.550   0.033   0.000    ;
